Year,Category,Value_USD,Percentage,Total_Imports_USD
YR2000,Food,1463581005.3060164,16.4762017933808,8883000000.0
YR2000,Fuel,646842070.4470474,7.28179748336201,8883000000.0
YR2000,Manufactures,6017590598.821425,67.7427738243997,8883000000.0
YR2000,Agricultural Raw Materials,538778876.6230215,6.06528061041339,8883000000.0
YR2000,Machinery and Transport Equipment,210995405.4064796,2.37527192847551,8883000000.0
YR2001,Food,1568238237.8787692,17.3900891315011,9018000000.0
YR2001,Fuel,435670250.7890804,4.83111832766778,9018000000.0
YR2001,Manufactures,6214401801.194742,68.9110867287064,9018000000.0
YR2001,Agricultural Raw Materials,581278192.2077439,6.44575506994615,9018000000.0
YR2001,Machinery and Transport Equipment,217841055.19159544,2.41562491895759,9018000000.0
YR2002,Food,1254541682.9094446,14.6012765701751,8592000000.0
YR2002,Fuel,583331125.4582058,6.78923563149681,8592000000.0
YR2002,Manufactures,4876819041.216154,56.7599981519571,8592000000.0
YR2002,Agricultural Raw Materials,485279891.74600846,5.64804343279805,8592000000.0
YR2002,Machinery and Transport Equipment,165378728.61123884,1.92479898290548,8592000000.0
YR2003,Food,2002116556.5271308,19.1883894625947,10434000000.0
YR2003,Fuel,1158047676.2114227,11.0987893062241,10434000000.0
YR2003,Manufactures,6293497111.843367,60.317204445499,10434000000.0
YR2003,Agricultural Raw Materials,778882992.5430073,7.46485520934452,10434000000.0
YR2003,Machinery and Transport Equipment,201101802.52496225,1.92737016029291,10434000000.0
YR2004,Food,1878775132.311804,15.6096305442988,12036000000.0
YR2004,Fuel,998648532.0692562,8.29717956189146,12036000000.0
YR2004,Manufactures,7886148775.222388,65.5213424328879,12036000000.0
YR2004,Agricultural Raw Materials,1019413949.2376776,8.46970712228047,12036000000.0
YR2004,Machinery and Transport Equipment,250923000.2054628,2.08477068964326,12036000000.0
YR2005,Food,1930184866.5420823,13.8972198613441,13889000000.0
YR2005,Fuel,1418130680.2691543,10.2104592142642,13889000000.0
YR2005,Manufactures,9111395418.306017,65.6015221996257,13889000000.0
YR2005,Agricultural Raw Materials,1020384380.9714034,7.34670876932395,13889000000.0
YR2005,Machinery and Transport Equipment,408415545.0607513,2.94056839989021,13889000000.0
YR2006,Food,2677617795.868993,16.6996245220718,16034000000.0
YR2006,Fuel,2044340757.3632536,12.7500359072175,16034000000.0
YR2006,Manufactures,9680560369.968376,60.3752050016738,16034000000.0
YR2006,Agricultural Raw Materials,1124062787.8764718,7.0104951220935,16034000000.0
YR2006,Machinery and Transport Equipment,507387933.9198164,3.1644501304716,16034000000.0
YR2007,Food,4177057638.536946,22.4621296974454,18596000000.0
YR2007,Fuel,1950068686.0927863,10.4864954081135,18596000000.0
YR2007,Manufactures,10098463918.64013,54.3044951529368,18596000000.0
YR2007,Agricultural Raw Materials,1456196086.1544466,7.83069523636506,18596000000.0
YR2007,Machinery and Transport Equipment,624585556.2285975,3.3587091644902,18596000000.0
YR2008,Food,4371864296.147381,18.3229853149513,23860000000.0
YR2008,Fuel,1768516332.5294669,7.41205503993909,23860000000.0
YR2008,Manufactures,15157183876.768526,63.5254982261883,23860000000.0
YR2008,Agricultural Raw Materials,1754139354.0661542,7.35179947219679,23860000000.0
YR2008,Machinery and Transport Equipment,716311237.477109,3.00214265497531,23860000000.0
YR2009,Food,4077980060.4655848,18.6780564304749,21833000000.0
YR2009,Fuel,2671332432.430796,12.2352971759758,21833000000.0
YR2009,Manufactures,13116700623.931068,60.0774086196632,21833000000.0
YR2009,Agricultural Raw Materials,1414822766.113835,6.48020320667721,21833000000.0
YR2009,Machinery and Transport Equipment,512567719.1760439,2.34767425079487,21833000000.0
YR2010,Food,4847544425.237127,17.4240481119914,27821000000.0
YR2010,Fuel,2307992818.1219683,8.29586577808838,27821000000.0
YR2010,Manufactures,17852761496.01318,64.170092721373,27821000000.0
YR2010,Agricultural Raw Materials,2256594909.746571,8.11112077116772,27821000000.0
YR2010,Machinery and Transport Equipment,555820998.03523,1.99784694308339,27821000000.0
YR2011,Food,7059482024.506173,19.4937925236267,36214000000.0
YR2011,Fuel,2746580390.9436026,7.58430549219529,36214000000.0
YR2011,Manufactures,23057656904.81625,63.6705608461265,36214000000.0
YR2011,Agricultural Raw Materials,2645655193.166601,7.30561438439996,36214000000.0
YR2011,Machinery and Transport Equipment,704089559.2928584,1.94424686390031,36214000000.0
YR2012,Food,4944977933.501789,14.4704238243695,34173000000.0
YR2012,Fuel,3022169373.04269,8.84373444837354,34173000000.0
YR2012,Manufactures,21891256772.09756,64.060096485815,34173000000.0
YR2012,Agricultural Raw Materials,2593682456.0319347,7.5898588243114,34173000000.0
YR2012,Machinery and Transport Equipment,736052371.2138658,2.1539003634854,34173000000.0
YR2013,Food,6254673720.907603,16.8657778641165,37085000000.0
YR2013,Fuel,2986373741.194837,8.05278075015461,37085000000.0
YR2013,Manufactures,24136315783.34832,65.0837691340119,37085000000.0
YR2013,Agricultural Raw Materials,2885675893.0027075,7.78124819469518,37085000000.0
YR2013,Machinery and Transport Equipment,820706564.3366188,2.21304183453315,37085000000.0
YR2015,Food,6963647193.154111,16.561579168916,42047000000.0
YR2015,Fuel,4566970959.036424,10.8615857469889,42047000000.0
YR2015,Manufactures,26691616691.27496,63.4804306877422,42047000000.0
YR2015,Agricultural Raw Materials,2696293017.888516,6.41256931026831,42047000000.0
YR2015,Machinery and Transport Equipment,1127995758.546353,2.68270211560005,42047000000.0
YR2016,Food,6824052885.576564,15.2417870221937,44772000000.0
YR2016,Fuel,4718590960.800852,10.5391560814814,44772000000.0
YR2016,Manufactures,29214875513.07295,65.252558547916,44772000000.0
YR2016,Agricultural Raw Materials,2626518651.734281,5.86643136722568,44772000000.0
YR2016,Machinery and Transport Equipment,1387573069.898269,3.09919831568451,44772000000.0
YR2017,Food,10004294770.360594,18.9346180073446,52836000000.0
YR2017,Fuel,5505906790.874798,10.4207487146544,52836000000.0
YR2017,Manufactures,31835332765.64007,60.2531091786662,52836000000.0
YR2017,Agricultural Raw Materials,3534747044.4922147,6.69003528747864,52836000000.0
YR2017,Machinery and Transport Equipment,1942798216.9884472,3.67703500830579,52836000000.0
YR2018,Food,7865727048.813535,13.0022763018655,60495000000.0
YR2018,Fuel,6123020587.434735,10.1215316760637,60495000000.0
YR2018,Manufactures,40561296043.79932,67.0490057753522,60495000000.0
YR2018,Agricultural Raw Materials,3650778267.695493,6.03484299147945,60495000000.0
YR2018,Machinery and Transport Equipment,2293861118.7045417,3.79181935483022,60495000000.0
