year,Adjusted net national income (current US$),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (current US$)",Cereal yield (kg per hectare),Crop production index (2014-2016 = 100),"Employment in agriculture, female (% of female employment)","Employment in agriculture, male (% of male employment)",Fertilizer consumption (kilograms per hectare of arable land),Food production index (2014-2016 = 100),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)",Household final consumption expenditure (current US$),Household final consumption expenditure per capita (constant 2015 US$),Income share held by fourth 20%,Income share held by highest 10%,Income share held by highest 20%,Income share held by lowest 10%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,Livestock production index (2014-2016 = 100),Prevalence of undernourishment (% of population),Rural population (% of total population)
2000,50759755864.0968,72.2132595836214,94000.0,22.7181480755923,7.39026609189889,12124627310.6738,3302.2,62.5,75.6471533082527,65.0281384886667,158.10754491018,59.91,410.0,1550.0,40031663685.1521,516.853053993219,21.0,27.9,42.7,3.7,8.6,12.1,15.6,46.47,,76.6854885024756
2001,51157911892.1475,72.2363063685949,94030.0,21.8483405815259,2.75792682337257,11796200889.5478,3352.6,61.14,71.5875138697229,61.1129315798734,174.590268577623,58.81,420.0,1640.0,40235841363.9733,529.315681522686,,,,,,,,47.29,15.5,76.3000785231377
2002,52338565275.5643,71.8521932857033,93530.0,20.5841344226366,-0.118901139086987,11264478495.5598,3374.0,62.73,66.9553368569623,56.9799792413193,188.639161517024,60.55,420.0,1710.0,40571565383.9457,526.719059257934,,,,,,,,49.02,14.6,75.8867616452668
2003,57605843839.6695,71.6601367442575,93280.0,19.8127182977042,3.98385112085433,11919119170.9845,3479.8,64.15,61.6530581880076,52.5828940901922,160.266893534273,62.25,440.0,1800.0,44930345423.1433,540.141968921992,,,,,,,,51.81,14.8,75.4474442487375
2004,62559964229.613,71.6217254359684,93230.0,19.2669595662859,4.97351359570889,12544436894.8531,3439.4,62.56,60.0878724855763,50.9373475207795,170.671374186418,61.12,490.0,1930.0,47944436894.8531,564.645031869589,,,,,,,,52.74,14.7,74.9905190113899
2005,66741897884.1414,71.5295382960744,93110.0,18.5710395455964,4.38245497917711,12902415664.8716,3663.6,70.97,58.3255440380596,49.1202699901085,192.872642090988,68.55,530.0,2090.0,51248319993.3002,595.106012200744,20.9,28.0,42.5,3.8,8.8,12.2,15.6,55.07,15.1,74.5230459298491
2006,69162037725.4456,71.2913881846816,92800.0,18.0340165108542,5.55271778317687,12947654915.3759,3710.5,73.37,57.3570456050527,48.2603711047923,188.408168316832,70.64,550.0,2300.0,52499417440.7846,629.692590222237,,,,,,,,55.91,15.4,74.0520850007404
2007,77464643918.9879,71.1838365214719,92660.0,17.8065367823955,6.69249627696308,14176076845.4646,3783.1,77.62,56.965903530146,47.1852219014365,179.81000499002,74.54,580.0,2520.0,58827560189.47,669.265515764412,,,,,,,,56.94,16.1,73.584696220689
2008,90477993030.7096,71.0839671199201,92530.0,17.5956955421992,4.49386787228607,16124167061.4102,4154.3,84.01,56.4995438363949,46.1633005416539,195.064350868424,80.64,640.0,2720.0,69307178911.8219,688.990572749147,,,,,,,,60.65,16.9,73.12793958632
2009,101403822815.232,71.0301912883153,92460.0,17.1046290519632,3.46608847086416,17527995678.9827,4126.4,84.55,56.1168088041192,45.1793853891267,184.290524471148,80.52,700.0,2850.0,76419661795.7796,698.243146386791,,,,,,,,57.98,17.9,72.6888750942588
