year,"Current account balance (BoP, current US$)",Expense (% of GDP),Exports of goods and services (current US$),"External debt stocks, total (current US$)",GDP (current US$),GDP growth (annual %),Imports of goods and services (current US$),"Official exchange rate (LCU per US$, period average)",Public and publicly guaranteed debt,"Revenue, excluding grants (% of GDP)",Total debt service on external debt,"Total reserves (includes gold, current US$)",Debt-to-GDP Ratio (%),Debt Service Ratio (%),Trade Balance (current US$)
2000,-305831650.647999,,6588073941.56231,15600564697.1,53369787318.6245,5.29329471892532,9060862651.56033,52.1416666666666,14989457889.5,,773322606.1,1515788656.4122,29.23107900723423,11.7382198949123,-2472788709.998019
2001,-535424727.721444,7.85279247057531,7227575982.20904,14978802400.8,53991289844.3291,5.07728777526728,10102557449.9629,55.8066666666666,14410233960.6,8.55508912359227,666594362.0,1305630681.37667,27.74299788722917,9.222931223979494,-2874981467.7538605
2002,739250272.000126,7.88712372772849,6791241511.40519,16687587182.1,54724081490.5102,3.83312393993225,9060891520.11144,57.888,15980821849.9,8.87465110773691,706732882.9,1721734791.67036,30.49404709514188,10.406534382750413,-2269650008.70625
2003,131637632.009357,7.83605027787651,6876856649.39551,18440377575.4,60158929188.2556,4.73956739963045,9761830742.65976,58.15004,17679803154.0,8.71578966709367,659152139.2,2624623706.05726,30.652768964178946,9.585078951121382,-2884974093.26425
2004,-278679383.745514,7.60497659759871,7257329709.52947,19714073691.8,65108544250.0425,5.23953291029852,10229675556.3105,59.5126583333333,18698272322.6,8.65675173626511,653283766.1,3221759632.8579,30.27878125502265,9.001709888448154,-2972345846.7810287
2005,-173741535.952961,8.1426283401405,9999571015.39225,18503086016.3,69476001239.419,6.53594493875502,13898043877.3656,64.3274749999999,17438901410.0,8.9489913342907,812105988.3,2825004863.68236,26.632341652101005,8.12140827891449,-3898472861.9733505
2006,1196063083.00571,8.33493730155715,11741089556.3444,20160932717.1,71795736172.1561,6.67190498576788,15621647159.4109,68.9332333333333,18435555272.7,8.77841193665516,712935810.5,3877163419.29565,28.080961059800142,6.072143535561049,-3880557603.0664997
2007,856792635.005174,8.66279314084748,13530265640.2252,21523544177.4,79611644974.5571,7.05859935449848,18268522231.9984,68.874875,19433498590.1,8.81075448022252,1008245604.3,5277479281.25888,27.03567321624702,7.451779817999335,-4738256591.773201
2008,926185438.562718,9.42878117115452,16182047682.9643,23346917708.3,91636997370.9772,6.01378975738535,22874478188.5382,68.598275,20273562501.9,9.51289063059205,940729371.1,5787356027.09449,25.47761098476838,5.813413663898394,-6692430505.5739
2009,3556126394.04663,9.87158360325856,17359427992.7925,25377795050.4,102475158190.998,5.04512479919337,23725728359.9447,69.0390666666666,21184650224.6,9.64307267713728,1032147833.3,10341543873.7536,24.76482642076012,5.9457479458916485,-6366300367.152199
2010,2108502536.74166,9.26625106718959,18471882436.8538,26571755072.0,115275540051.262,5.57178818533122,25105548606.6769,69.6492916666666,21145542685.2,9.74382934646306,1106277181.1,11174828666.952,23.050644620865608,5.988979113968554,-6633666169.823097
2011,-161842538.678824,9.84388457755423,25621279024.2428,27046084648.2,128607482310.357,6.46437912497728,35365482039.6129,74.1524,22217936348.9,10.4626574311705,1528366924.7,9174749651.1268,21.029946440388354,5.965224933750819,-9744203015.370098
2012,2575500680.61049,9.63853873285246,26877564843.4222,29155976742.1,133310747603.483,6.52145877906443,37259465952.266,81.8626583333333,24196786408.2,11.1452302743835,1675995387.4,12754226899.6071,21.87068729733704,6.2356667992940205,-10381901108.8438
2013,2058473420.43086,9.50711961128958,29306607469.6236,32454687016.8,149998957434.186,6.01360565834344,40137513944.1348,78.103235,25034676366.2,11.1604123713742,1941041755.6,18087689200.0619,21.636608395121623,6.623222280545084,-10830906474.511204
2014,755790761.66014,9.50443649145954,32830579729.9485,35270692354.7,172886611653.786,6.0610593588495,44128305231.1645,77.6414083333333,26541000314.4,10.8668856085968,2032918904.5,22319788312.4797,20.401054782270418,6.192150492686986,-11297725501.215996
2015,2579621008.7762,9.00588487034226,33831931004.0501,38770937144.2,195146608978.131,6.55263987816197,48297463643.7965,77.9469083333333,27169735482.9,9.84448413886165,1755769691.8,27493077971.9949,19.86759459834879,5.189682172116669,-14465532639.746403
2016,931393867.987116,7.86276813546215,36922447162.046,41569252897.7,265224515675.034,7.11347821270093,46183400773.3724,78.4680916666666,29095257693.1,8.52279611186147,1858017034.6,32283838538.9037,15.67323171159361,5.032215298312965,-9260953611.3264
2017,-5984992475.63151,7.63987436772557,37655756192.841,51068283464.6,293732446624.596,6.59024999794057,50463186692.0898,80.4375416666666,35282720722.6,8.0712626971168,2277943607.4,33431482893.1712,17.38598648240849,6.049390153617671,-12807430499.248795
2018,-7095172568.14977,7.4941450180451,40732047404.0872,57125459320.6,321362752441.78,7.31941263014136,63757868050.7515,83.4662019166666,41321842241.5,8.70480535725308,3025189205.6,32028383716.5949,17.776005117752153,7.4270492116152305,-23025820646.664307
2019,-2948537074.51493,8.27231587687115,45992932855.1263,62468325028.8,351231654603.692,7.88191515117722,64919190426.113,84.4535225,46416580489.2,8.85578039462247,5933889102.9,32696936140.2925,17.785505437795855,12.901741060069444,-18926257570.986702
2020,1192771686.32568,8.14832024557625,39053880559.8514,73550857817.1,373979442362.193,3.44801755122445,59195931838.1946,84.8713916666666,54830387715.7,8.64089809540505,4047043812.0,43171735335.8,19.667085803573983,10.362718772076356,-20142051278.3432
2021,-15775415833.0742,8.3242513417429,44386125441.8587,91477590071.6,416271647911.014,6.93867912442445,71021045805.0068,85.08376325,62473497623.7,9.53881335234034,5678071952.6,46165532457.1555,21.97545533803808,12.79244785634127,-26634920363.1481
2022,-17531514896.3582,,59275206086.406,96944431751.0,460131689083.083,7.09982877575158,96157127887.3964,91.7454544396961,67541257286.6,,6799109898.2,33747202271.7021,21.06884486573481,11.470411234486265,-36881921800.990395
2023,-7199979887.6317,,57551452000.7801,101370771740.3,437415333018.291,5.77511237007889,77972815573.2438,106.309484297483,74054538879.0,,7474102274.3,21859709190.8892,23.174947032792073,12.986817907215773,-20421363572.463707
2024,-3013399293.76544,,47087839244.3229,104486886261.1,450119432068.852,4.22325911250161,73445483483.8237,115.603653796648,77581679615.2,,8596803872.8,21394795733.0405,23.213147182038853,18.256951286709263,-26357644239.5008
