Year,Category,Value_USD,Percentage,Total_Exports_USD
YR2000,Food,486389245.2479172,7.61291665750379,6389000000.0
YR2000,Fuel,14644767.375146272,0.229218459463864,6389000000.0
YR2000,Manufactures,5782657090.453366,90.5095803796113,6389000000.0
YR2000,Agricultural Raw Materials,92563863.94679084,1.44880050002803,6389000000.0
YR2000,Machinery and Transport Equipment,903221.7454208921,0.0141371379781013,6389000000.0
YR2001,Food,369035900.49115473,6.06966941597294,6080000000.0
YR2001,Fuel,9486611.407319902,0.156029792883551,6080000000.0
YR2001,Manufactures,5636009038.946296,92.6975170879325,6080000000.0
YR2001,Agricultural Raw Materials,59965383.65315937,0.986272757453279,6080000000.0
YR2001,Machinery and Transport Equipment,532440.7336233705,0.00875724890827912,6080000000.0
YR2002,Food,419451204.2336174,6.82145396379277,6149000000.0
YR2002,Fuel,18785837.91516516,0.305510455605223,6149000000.0
YR2002,Manufactures,5514763404.668871,89.6855326828569,6149000000.0
YR2002,Agricultural Raw Materials,63531884.77465684,1.03320677792579,6149000000.0
YR2002,Machinery and Transport Equipment,2522497.7868909244,0.0410228945664486,6149000000.0
YR2003,Food,404589784.42938644,5.78812281014859,6990000000.0
YR2003,Fuel,22601428.44563854,0.32333946274161,6990000000.0
YR2003,Manufactures,6494654687.71313,92.9135148456814,6990000000.0
YR2003,Agricultural Raw Materials,65415056.263991565,0.93583771479244,6990000000.0
YR2003,Machinery and Transport Equipment,1639271.4651943946,0.0234516661687324,6990000000.0
YR2004,Food,513606085.1166126,6.18429964017595,8305000000.0
YR2004,Fuel,38909539.49825119,0.468507399136077,8305000000.0
YR2004,Manufactures,7633186313.386195,91.9107322502853,8305000000.0
YR2004,Agricultural Raw Materials,104454539.13507754,1.25773075418516,8305000000.0
YR2004,Machinery and Transport Equipment,13278884.584155822,0.159890241832099,8305000000.0
YR2005,Food,578442769.7926787,6.22182176823361,9297000000.0
YR2005,Fuel,53859363.723502345,0.579319820624958,9297000000.0
YR2005,Manufactures,8477744662.70093,91.1879602312674,9297000000.0
YR2005,Agricultural Raw Materials,159488734.24633226,1.71548600888816,9297000000.0
YR2005,Machinery and Transport Equipment,18402116.051802974,0.197936065954641,9297000000.0
YR2006,Food,699656600.1910802,5.92828842730961,11802000000.0
YR2006,Fuel,89866312.91446103,0.761449863704974,11802000000.0
YR2006,Manufactures,10778956454.087873,91.3316086602938,11802000000.0
