Year,Agricultural raw materials exports (% of merchandise exports),Exports of goods and services (constant 2015 US$),Exports of goods and services (current US$),Food exports (% of merchandise exports),Fuel exports (% of merchandise exports),High-technology exports (% of manufactured exports),High-technology exports (current US$),Machinery and transport equipment exports (% of merchandise exports),Manufactures exports (% of merchandise exports),Merchandise exports to developing economies in East Asia & Pacific (% of total),Merchandise exports to developing economies in Europe & Central Asia (% of total),Merchandise exports to developing economies in Latin America & the Caribbean (% of total),Merchandise exports to developing economies in Middle East & North Africa (% of total),Merchandise exports to developing economies in South Asia (% of total),Merchandise exports to developing economies in Sub-Saharan Africa (% of total),Merchandise exports to economies in the Arab World (% of total),Merchandise exports to high income economies (% of total),Total Merchandise Exports (current US$),Total Merchandise Exports (current US$) - Alternative,Transport services (% of service exports)
YR2000,1.44880050002803,4931649726.19332,6588073941.56231,7.61291665750379,0.229218459463864,,,0.0141371379781013,90.5095803796113,1.61923443608932,0.63457245802714,0.425597807497951,1.20526891222685,1.9589206235166,0.647181518595443,2.28983785866483,93.496697692632,6389000000.0,4777651727.0,32.1805263831873
YR2001,0.986272757453279,5666657358.84085,7227575982.20904,6.06966941597294,0.156029792883551,,,0.00875724890827912,92.6975170879325,1.06447225285623,0.473133836466196,0.366120798819756,1.54853739404757,2.02569576505556,0.436451957495802,2.27344218444545,94.0742513372541,6080000000.0,4820979867.0,29.5035995901994
YR2002,1.03320677792579,5657358518.10689,6791241511.40519,6.82145396379277,0.305510455605223,,,0.0410228945664486,89.6855326828569,1.12161304016079,0.689713052380344,0.458995180219981,1.90666853435537,1.72480008077315,0.848990716700343,2.35571405237338,93.2465224541941,6149000000.0,4546817679.0,26.777458122256
YR2003,0.93583771479244,5561387904.32919,6876856649.39551,5.78812281014859,0.32333946274161,,,0.0234516661687324,92.9135148456814,1.19967665407089,0.690450010298602,0.454027404882711,1.34200411811078,2.14089425695253,0.81541265621678,1.86300166730634,93.3565247287915,6990000000.0,5252280753.0,14.8215465184376
YR2004,1.25773075418516,10322676287.2838,7257329709.52947,6.18429964017595,0.468507399136077,,,0.159890241832099,91.9107322502853,1.41219382942391,0.985885487886732,0.376354132235173,0.955589855254434,1.92093126127884,0.71124904983536,1.43770365543222,93.6343637531808,8305000000.0,6585619202.0,16.8354881279529
YR2005,1.71548600888816,14761557885.222,9999571015.39225,6.22182176823361,0.579319820624958,,,0.197936065954641,91.1879602312674,1.85916111177227,1.14271241121628,0.465777161270374,1.08926537226097,2.59639200974953,0.55973527637263,1.39029943937848,92.2869566573579,9297000000.0,7214530637.0,16.2957876189868
YR2006,1.64276839466699,18522258101.4364,11741089556.3444,5.92828842730961,0.761449863704974,,,0.334982177296064,91.3316086602938,2.03227158172867,1.70215120966488,0.439541665834896,0.847933601932071,2.33384822056911,0.403566544013735,1.11248627935705,92.2406871762567,11802000000.0,9178715270.0,9.98381286573198
YR2007,3.12310343301332,20925632793.8814,13530265640.2252,6.51994522760569,1.62282630256016,,,0.425047394742913,88.2812216494338,1.85302001416775,1.6474481907418,0.620091522406624,0.829725050003075,2.78546647141467,0.541218307364255,1.26448964333798,91.7230304439018,12453000000.0,10421758509.0,8.16892271279397
YR2008,1.53507157295862,22407295092.9576,16182047682.9643,4.81908048002957,1.41061914831305,0.435480466968654,62063721.0,0.326725359622683,91.9071307309129,2.16658836792222,2.36278707248343,1.05884312773642,0.860264382904796,3.58126675054204,0.660014509127408,1.49949973221924,89.3102357892837,15370000000.0,11723751210.0,10.6834999804905
YR2009,1.54240916058004,22413682175.8445,17359427992.7925,3.694887123026,1.72665865195063,0.306260590781621,44173505.0,0.331266388916683,92.704172111994,2.06148758697285,2.90333370658664,0.95586059544831,0.783170835623036,3.00290064276283,0.649138862846111,1.7143936291448,89.6441077697602,15083000000.0,12393272781.0,15.1702155886538
YR2010,1.94860335841044,22624714205.8624,18471882436.8538,4.0297492269178,1.87340450699641,0.213025597821188,37560962.0,0.461533261380147,91.686087379598,2.848210331639,3.74953093014684,0.848023551502688,1.29185020769049,2.99737980093544,0.733206658538634,2.0358984720236,87.5317985195469,19194000000.0,14081069068.0,14.2174155607561
YR2011,1.7535465732422,29262607331.5145,25621279024.2428,3.85995629311679,1.15197562004724,0.19506469565516,44006131.0,0.448393262306309,92.7860461578024,2.50420573654337,3.2523556315212,1.17290746983943,0.931008830366074,3.2820852766941,0.6667667957365,1.83070105847182,88.1906702592993,24439000000.0,19741113511.0,19.455310915958
YR2012,1.39329759278668,32929872980.3364,26877564843.4222,2.64399336692833,1.82373354611352,0.463362848345637,105405034.0,0.417876025550295,92.7971855138084,2.85628020151087,2.62907631834501,1.24281630699715,0.73166483362904,3.38871780172685,0.636576678522489,2.14336546614881,88.5148678592686,25127000000.0,18692888699.0,27.9178378519513
YR2013,1.0513641186179,33737275377.9959,29306607469.6236,3.95020479098769,1.13549487669373,0.299089378482049,68647591.0,0.314194015485004,93.5398809120663,3.10786029106153,3.15656872969799,1.24139373507524,0.704948760700303,2.64178851703267,0.564223106038838,2.37596861920952,88.5832168603934,29114000000.0,21657154890.0,32.5452229350196
YR2014,,34817255923.1622,32830579729.9485,,,,,,,4.09735144449491,2.96458636810722,1.17248316595493,0.491392879478645,2.25730848998837,0.448504264078377,2.217783142255,88.5683733878976,30405000000.0,23598924576.0,23.9055280956152
YR2015,0.747182515389268,33831931004.0501,33831931004.0501,2.70599278676995,0.561290711404927,0.307867105131918,93607706.0,0.171611767409981,95.8123018643015,3.85655797326402,2.54950649098528,1.25886508842557,0.446502778518142,2.69878204642527,0.557536824937386,2.4663184126411,88.6322487974443,32379000000.0,24643402526.0,23.9381105152468
YR2016,0.939612361308177,34575133828.3026,36922447162.046,3.0356749956152,0.799979316816806,0.242933626284075,80224851.0,0.199272689588463,95.0234067056524,4.23873618559296,2.35829228041792,1.02553056669727,0.382997259630858,3.06028220626155,0.461707053920493,2.54751643337172,88.472454447479,34894000000.0,24819157738.0,20.820300828524
YR2017,0.727062955354584,33937817019.2328,37655756192.841,3.11266643649063,0.682738569544682,0.426450633403232,161066666.0,0.27752243063948,95.1979351496855,4.06985594163691,2.17097687393102,1.12137348072406,0.393360644662595,2.68502451254729,0.648435545404117,2.64108534814384,88.910973001094,35851000000.0,25700689017.0,21.4841875203023
YR2018,0.767841924151289,36010032876.3986,40732047404.0872,3.38709259966535,1.09687826106508,0.539452073551698,204146450.0,0.293795364051544,94.4530526963443,3.34094820716384,1.56731470709492,1.41983486047324,0.338861825889344,3.70633558880836,0.619018141319908,2.35487686657903,89.0076866692504,39252000000.0,27615508107.0,22.0488982737465
YR2019,,40135512710.0993,45992932855.1263,,,,,,,3.49900876900308,1.44187378349035,1.43787412248872,0.304055656242228,3.69632858471682,0.53343217773318,2.2251080688836,89.0874269063256,39337000000.0,29805901038.0,19.55975909756
YR2020,,33110837829.0007,39053880559.8514,,,,,,,3.32509861191502,1.7387210289205,1.17017936398404,0.352641748125715,3.68722567083908,0.670402266802084,2.68669775869911,89.053874233136,33605000000.0,27848829165.0,22.2570097918864
YR2021,,36154205958.2183,44386125441.8587,,,,,,,3.54061431169913,1.19304155593863,1.13779934378948,0.373570126226846,4.51931385001035,0.759861800143695,2.58318457235653,88.4584064665749,44223000000.0,37837738908.0,27.1626994027127
YR2022,,46780850864.3021,59275206086.406,,,,,,,2.57978047117781,1.13053284485505,1.29455114707421,0.349280306177888,4.1182080071709,0.629319732461312,2.49040372625253,89.8885478835933,51405000000.0,47070835971.0,25.5204109351775
YR2023,,50538575675.937,57551452000.7801,,,,,,,3.10045907428213,1.30571782481636,1.55520491880371,0.276838706695584,4.53718779239393,0.67566809003223,2.33495672373191,88.5305106220791,44237000000.0,38755820774.0,17.57900860965
YR2024,,41879972086.3029,47087839244.3229,,,,,,,,,,,,,,,47245000000.0,,23.7740670892594
