Year,Category,Import_Value,Export_Value,Trade_Balance,Trade_Deficit,Trade_Surplus,Total_Imports,Total_Exports,Overall_Trade_Balance
YR2000,Agricultural Raw Materials,538778876.6230215,92563863.94679084,-446215012.67623067,446215012.67623067,0.0,8883000000.0,6389000000.0,-2494000000.0
YR2000,Food,1463581005.3060164,486389245.2479172,-977191760.0580993,977191760.0580993,0.0,8883000000.0,6389000000.0,-2494000000.0
YR2000,Fuel,646842070.4470474,14644767.375146272,-632197303.0719011,632197303.0719011,0.0,8883000000.0,6389000000.0,-2494000000.0
YR2000,Machinery and Transport Equipment,210995405.4064796,903221.745420892,-210092183.6610587,210092183.6610587,0.0,8883000000.0,6389000000.0,-2494000000.0
YR2000,Manufactures,6017590598.821425,5782657090.453366,-234933508.36805916,234933508.36805916,0.0,8883000000.0,6389000000.0,-2494000000.0
YR2001,Agricultural Raw Materials,581278192.2077439,59965383.65315937,-521312808.5545845,521312808.5545845,0.0,9018000000.0,6080000000.0,-2938000000.0
YR2001,Food,1568238237.8787692,369035900.49115473,-1199202337.3876145,1199202337.3876145,0.0,9018000000.0,6080000000.0,-2938000000.0
YR2001,Fuel,435670250.7890804,9486611.407319902,-426183639.3817605,426183639.3817605,0.0,9018000000.0,6080000000.0,-2938000000.0
YR2001,Machinery and Transport Equipment,217841055.19159544,532440.7336233705,-217308614.45797205,217308614.45797205,0.0,9018000000.0,6080000000.0,-2938000000.0
YR2001,Manufactures,6214401801.194742,5636009038.946296,-578392762.2484465,578392762.2484465,0.0,9018000000.0,6080000000.0,-2938000000.0
YR2002,Agricultural Raw Materials,485279891.74600846,63531884.77465684,-421748006.9713516,421748006.9713516,0.0,8592000000.0,6149000000.0,-2443000000.0
YR2002,Food,1254541682.9094446,419451204.2336174,-835090478.6758271,835090478.6758271,0.0,8592000000.0,6149000000.0,-2443000000.0
YR2002,Fuel,583331125.4582058,18785837.91516516,-564545287.5430406,564545287.5430406,0.0,8592000000.0,6149000000.0,-2443000000.0
YR2002,Machinery and Transport Equipment,165378728.61123884,2522497.7868909244,-162856230.8243479,162856230.8243479,0.0,8592000000.0,6149000000.0,-2443000000.0
YR2002,Manufactures,4876819041.216154,5514763404.668871,637944363.4527168,0.0,637944363.4527168,8592000000.0,6149000000.0,-2443000000.0
YR2003,Agricultural Raw Materials,778882992.5430073,65415056.263991565,-713467936.2790157,713467936.2790157,0.0,10434000000.0,6990000000.0,-3444000000.0
YR2003,Food,2002116556.5271308,404589784.4293864,-1597526772.0977445,1597526772.0977445,0.0,10434000000.0,6990000000.0,-3444000000.0
YR2003,Fuel,1158047676.2114227,22601428.44563854,-1135446247.765784,1135446247.765784,0.0,10434000000.0,6990000000.0,-3444000000.0
YR2003,Machinery and Transport Equipment,201101802.52496225,1639271.4651943946,-199462531.05976784,199462531.05976784,0.0,10434000000.0,6990000000.0,-3444000000.0
YR2003,Manufactures,6293497111.843367,6494654687.71313,201157575.86976337,0.0,201157575.86976337,10434000000.0,6990000000.0,-3444000000.0
YR2004,Agricultural Raw Materials,1019413949.2376776,104454539.13507754,-914959410.1026001,914959410.1026001,0.0,12036000000.0,8305000000.0,-3731000000.0
YR2004,Food,1878775132.311804,513606085.1166126,-1365169047.1951914,1365169047.1951914,0.0,12036000000.0,8305000000.0,-3731000000.0
YR2004,Fuel,998648532.0692562,38909539.49825119,-959738992.571005,959738992.571005,0.0,12036000000.0,8305000000.0,-3731000000.0
