year,Adjusted Net National Income per Capita (current US$),Employment in Agriculture (% of total employment),Employment in Industry (% of total employment),Employment in Services (% of total employment),Employment to Population Ratio (%),GDP per Capita (current US$),GDP per Capita Growth (annual %),GINI Index (World Bank estimate),"Labor Force, Total",Population Growth (annual %),Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Poverty Headcount Ratio at National Poverty Lines (% of population),Rural Population,Self-employed (% of total employment),Total Population,Unemployment Rate (%),Urban Population,Vulnerable Employment (% of total employment),Wage and Salaried Workers (% of total employment)
2000,377.271681929373,67.5956893034896,13.0892190327164,19.3150811251213,56.261,396.670730249751,3.38671358983686,33.4,49048139.0,1.82732806740512,37.3226802030851,59.2159179803854,3.46140181652951,,103175957.0,66.4240874789155,134544304.0,3.27,31368347.0,66.2249634576764,33.5759125210845
2001,373.945462492766,63.6637662866904,14.4051473429778,21.9310884356931,56.105,394.65641001891,3.34027882244948,,50230500.0,1.66689324749509,36.9194877873992,59.5841764337926,3.49633577880817,,104382940.0,66.1141074913131,136805810.0,3.609,32422870.0,65.9019556492587,33.8858863126032
2002,376.716240175324,59.4219802137688,15.7360006499148,24.8420110083177,55.899,393.886422327628,2.24286058481829,,51244757.0,1.54340635736975,36.6324742561662,59.8282267929633,3.53929895087049,,105432254.0,65.7921785968562,138933658.0,3.966,33501404.0,65.5713327248984,34.2078254671436
2003,408.638010979128,54.813673700961,17.1419202198288,28.0444120847605,55.674,426.74880754362,3.22632477639362,,52208969.0,1.45530530506763,36.3510312308472,60.0554642158213,3.59350455333156,,106358527.0,65.4605106763364,140970351.0,4.32,34611824.0,65.246300716344,34.5394933273636
2004,437.779663617171,53.1750741116125,17.6220890679826,29.2028328870851,55.646,455.614016909798,3.81635685042457,,53140734.0,1.36154790691024,36.0571318324706,60.2870409402001,3.65582722732927,,107163593.0,65.1105567752125,142902856.0,4.316,35739263.0,64.8913823515472,34.8894510914275
2005,461.19293360395,51.359688830833,18.2007969329369,30.4395142362302,55.65,480.08585075452,5.20131368672413,33.2,54049068.0,1.2606651625389,35.7391159109622,60.5359621928184,3.72492189621939,,107846612.0,64.722223972032,144715786.0,4.25,36869174.0,64.4914371632306,35.2777721633575
2006,472.399016981675,50.4857268527338,18.6372555412735,30.877011938852,55.986,490.388026533289,5.44042881455881,,54908227.0,1.16116775095831,35.4168352973658,60.7813908631262,3.80177383950799,,108416676.0,64.3531394997343,146405973.0,3.591,37989297.0,64.1843947113788,35.6468586112188
2007,523.447677871554,49.7149098023194,18.9098240163507,31.3752643173313,55.861,537.955492792911,5.91320275589507,,55892527.0,1.07564253185597,35.1043735749559,61.008240407795,3.88738601724917,,108897461.0,63.869575118466,147989278.0,4.015,39091817.0,63.68530953012,36.1304286095314
2008,605.30816884109,48.9855434793339,19.1872302391746,31.8272281233023,55.705,613.06204104124,4.96057170242533,,56846810.0,0.9984405660693,34.793277305561,61.2236072332278,3.98311546121115,,109307449.0,63.3615083723008,149474264.0,4.49,40166815.0,63.1649650606653,36.6384879440776
2009,672.110602481967,48.327755652912,19.3863335157538,32.2859108313342,55.528,679.211477428056,4.07076421640669,,57807404.0,0.931892491457971,34.4480871598349,61.4616088790656,4.09030396109955,,109668406.0,62.8552450353619,150873714.0,5.0,41205308.0,62.6404448858856,37.1447604274181
