year,indicator_code,indicator_name,value
2000,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),158.10754491018
2000,AG.LND.AGRI.K2,Agricultural land (sq. km),94000.0
2000,AG.LND.AGRI.ZS,Agricultural land (% of land area),72.2132595836214
2000,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),62.5
2000,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),59.91
2000,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),46.47
2000,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3302.2
2000,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),40031663685.1521
2000,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),516.853053993219
2000,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",12124627310.6738
2000,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",7.39026609189889
2000,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",22.7181480755923
2000,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),50759755864.0968
2000,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",410.0
2000,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1550.0
2000,SI.DST.02ND.20,Income share held by second 20%,12.1
2000,SI.DST.03RD.20,Income share held by third 20%,15.6
2000,SI.DST.04TH.20,Income share held by fourth 20%,21.0
2000,SI.DST.05TH.20,Income share held by highest 20%,42.7
2000,SI.DST.10TH.10,Income share held by highest 10%,27.9
2000,SI.DST.FRST.10,Income share held by lowest 10%,3.7
2000,SI.DST.FRST.20,Income share held by lowest 20%,8.6
2000,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",75.6471533082527
2000,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",65.0281384886667
2000,SP.RUR.TOTL.ZS,Rural population (% of total population),76.6854885024756
2001,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),174.590268577623
2001,AG.LND.AGRI.K2,Agricultural land (sq. km),94030.0
2001,AG.LND.AGRI.ZS,Agricultural land (% of land area),72.2363063685949
2001,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),61.14
2001,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),58.81
2001,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),47.29
2001,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3352.6
2001,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),40235841363.9733
2001,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),529.315681522686
2001,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",11796200889.5478
2001,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",2.75792682337257
2001,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",21.8483405815259
2001,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),51157911892.1475
2001,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",420.0
2001,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1640.0
2001,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",71.5875138697229
2001,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",61.1129315798734
2001,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),15.5
2001,SP.RUR.TOTL.ZS,Rural population (% of total population),76.3000785231377
2002,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),188.639161517024
2002,AG.LND.AGRI.K2,Agricultural land (sq. km),93530.0
2002,AG.LND.AGRI.ZS,Agricultural land (% of land area),71.8521932857033
2002,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),62.73
2002,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),60.55
2002,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),49.02
2002,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3374.0
2002,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),40571565383.9457
2002,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),526.719059257934
2002,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",11264478495.5598
2002,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",-0.118901139086987
2002,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",20.5841344226366
2002,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),52338565275.5643
2002,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",420.0
2002,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1710.0
2002,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",66.9553368569623
2002,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",56.9799792413193
2002,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),14.6
2002,SP.RUR.TOTL.ZS,Rural population (% of total population),75.8867616452668
2003,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),160.266893534273
2003,AG.LND.AGRI.K2,Agricultural land (sq. km),93280.0
2003,AG.LND.AGRI.ZS,Agricultural land (% of land area),71.6601367442575
2003,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),64.15
2003,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),62.25
2003,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),51.81
2003,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3479.8
2003,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),44930345423.1433
2003,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),540.141968921992
2003,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",11919119170.9845
2003,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",3.98385112085433
2003,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",19.8127182977042
2003,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),57605843839.6695
2003,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",440.0
2003,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1800.0
2003,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",61.6530581880076
2003,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",52.5828940901922
2003,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),14.8
2003,SP.RUR.TOTL.ZS,Rural population (% of total population),75.4474442487375
2004,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),170.671374186418
2004,AG.LND.AGRI.K2,Agricultural land (sq. km),93230.0
2004,AG.LND.AGRI.ZS,Agricultural land (% of land area),71.6217254359684
2004,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),62.56
2004,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),61.12
2004,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),52.74
2004,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3439.4
2004,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),47944436894.8531
2004,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),564.645031869589
2004,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",12544436894.8531
2004,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",4.97351359570889
2004,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",19.2669595662859
2004,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),62559964229.613
2004,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",490.0
2004,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",1930.0
2004,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",60.0878724855763
2004,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",50.9373475207795
2004,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),14.7
2004,SP.RUR.TOTL.ZS,Rural population (% of total population),74.9905190113899
2005,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),192.872642090988
2005,AG.LND.AGRI.K2,Agricultural land (sq. km),93110.0
2005,AG.LND.AGRI.ZS,Agricultural land (% of land area),71.5295382960744
2005,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),70.97
2005,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),68.55
2005,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),55.07
2005,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3663.6
2005,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),51248319993.3002
2005,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),595.106012200744
2005,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",12902415664.8716
2005,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",4.38245497917711
2005,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",18.5710395455964
2005,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),66741897884.1414
2005,NY.GNP.PCAP.CD,"GNI per capita, Atlas method (current US$)",530.0
2005,NY.GNP.PCAP.PP.CD,"GNI per capita, PPP (current international $)",2090.0
2005,SI.DST.02ND.20,Income share held by second 20%,12.2
2005,SI.DST.03RD.20,Income share held by third 20%,15.6
2005,SI.DST.04TH.20,Income share held by fourth 20%,20.9
2005,SI.DST.05TH.20,Income share held by highest 20%,42.5
2005,SI.DST.10TH.10,Income share held by highest 10%,28.0
2005,SI.DST.FRST.10,Income share held by lowest 10%,3.8
2005,SI.DST.FRST.20,Income share held by lowest 20%,8.8
2005,SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment)",58.3255440380596
2005,SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment)",49.1202699901085
2005,SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),15.1
2005,SP.RUR.TOTL.ZS,Rural population (% of total population),74.5230459298491
2006,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),188.408168316832
2006,AG.LND.AGRI.K2,Agricultural land (sq. km),92800.0
2006,AG.LND.AGRI.ZS,Agricultural land (% of land area),71.2913881846816
2006,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),73.37
2006,AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),70.64
2006,AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),55.91
2006,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3710.5
2006,NE.CON.PRVT.CD,Household final consumption expenditure (current US$),52499417440.7846
2006,NE.CON.PRVT.PC.KD,Household final consumption expenditure per capita (constant 2015 US$),629.692590222237
2006,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",12947654915.3759
2006,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",5.55271778317687
2006,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",18.0340165108542
2006,NY.ADJ.NNTY.CD,Adjusted net national income (current US$),69162037725.4456
