Year,Value,Indicator,Indicator_Code,Country
YR2000,1.44880050002803,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2000,4931649726.19332,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2000,6588073941.56231,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2000,7.61291665750379,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2000,0.229218459463864,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2000,0.0141371379781013,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2000,90.5095803796113,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2000,1.61923443608932,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2000,0.63457245802714,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2000,0.425597807497951,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2000,1.20526891222685,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2000,1.9589206235166,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2000,0.647181518595443,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2000,2.28983785866483,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2000,93.496697692632,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2000,6389000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2000,4777651727.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2000,32.1805263831873,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2001,0.986272757453279,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2001,5666657358.84085,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2001,7227575982.20904,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2001,6.06966941597294,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2001,0.156029792883551,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2001,0.00875724890827912,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2001,92.6975170879325,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2001,1.06447225285623,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2001,0.473133836466196,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2001,0.366120798819756,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2001,1.54853739404757,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2001,2.02569576505556,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2001,0.436451957495802,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2001,2.27344218444545,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2001,94.0742513372541,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2001,6080000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2001,4820979867.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2001,29.5035995901994,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2002,1.03320677792579,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2002,5657358518.10689,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2002,6791241511.40519,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2002,6.82145396379277,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2002,0.305510455605223,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2002,0.0410228945664486,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2002,89.6855326828569,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2002,1.12161304016079,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2002,0.689713052380344,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2002,0.458995180219981,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2002,1.90666853435537,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2002,1.72480008077315,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2002,0.848990716700343,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2002,2.35571405237338,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2002,93.2465224541941,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2002,6149000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2002,4546817679.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2002,26.777458122256,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2003,0.93583771479244,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2003,5561387904.32919,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2003,6876856649.39551,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2003,5.78812281014859,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2003,0.32333946274161,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2003,0.0234516661687324,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2003,92.9135148456814,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2003,1.19967665407089,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2003,0.690450010298602,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2003,0.454027404882711,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2003,1.34200411811078,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2003,2.14089425695253,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2003,0.81541265621678,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2003,1.86300166730634,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2003,93.3565247287915,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2003,6990000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2003,5252280753.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2003,14.8215465184376,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2004,1.25773075418516,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2004,10322676287.2838,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2004,7257329709.52947,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
YR2004,6.18429964017595,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,Bangladesh
YR2004,0.468507399136077,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,Bangladesh
YR2004,0.159890241832099,Machinery and transport equipment exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,Bangladesh
YR2004,91.9107322502853,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,Bangladesh
YR2004,1.41219382942391,Merchandise exports to developing economies in East Asia & Pacific (% of total),TX.VAL.MRCH.R1.ZS,Bangladesh
YR2004,0.985885487886732,Merchandise exports to developing economies in Europe & Central Asia (% of total),TX.VAL.MRCH.R2.ZS,Bangladesh
YR2004,0.376354132235173,Merchandise exports to developing economies in Latin America & the Caribbean (% of total),TX.VAL.MRCH.R3.ZS,Bangladesh
YR2004,0.955589855254434,Merchandise exports to developing economies in Middle East & North Africa (% of total),TX.VAL.MRCH.R4.ZS,Bangladesh
YR2004,1.92093126127884,Merchandise exports to developing economies in South Asia (% of total),TX.VAL.MRCH.R5.ZS,Bangladesh
YR2004,0.71124904983536,Merchandise exports to developing economies in Sub-Saharan Africa (% of total),TX.VAL.MRCH.R6.ZS,Bangladesh
YR2004,1.43770365543222,Merchandise exports to economies in the Arab World (% of total),TX.VAL.MRCH.AL.ZS,Bangladesh
YR2004,93.6343637531808,Merchandise exports to high income economies (% of total),TX.VAL.MRCH.HI.ZS,Bangladesh
YR2004,8305000000.0,Total Merchandise Exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh
YR2004,6585619202.0,Total Merchandise Exports (current US$) - Alternative,TX.VAL.MRCH.WL.CD,Bangladesh
YR2004,16.8354881279529,Transport services (% of service exports),TX.VAL.TRAN.ZS.WT,Bangladesh
YR2005,1.71548600888816,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Bangladesh
YR2005,14761557885.222,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,Bangladesh
YR2005,9999571015.39225,Exports of goods and services (current US$),NE.EXP.GNFS.CD,Bangladesh
