Year,Value,Indicator,Indicator_Code,Country
YR2000,6.06528061041339,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2000,-2472788709.99801,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2000,16.4762017933808,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2000,7.28179748336201,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2000,8165875911.27849,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
YR2000,9060862651.56033,Imports of goods and services (current US$),NE.IMP.GNFS.CD,Bangladesh
YR2000,2.37527192847551,Machinery and transport equipment imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,Bangladesh
YR2000,67.7427738243997,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,Bangladesh
YR2000,17.2388102820024,Merchandise imports from developing economies in East Asia & Pacific (% of total),TM.VAL.MRCH.R1.ZS,Bangladesh
YR2000,0.668806872826536,Merchandise imports from developing economies in Europe & Central Asia (% of total),TM.VAL.MRCH.R2.ZS,Bangladesh
YR2000,1.53100475812183,Merchandise imports from developing economies in Latin America & the Caribbean (% of total),TM.VAL.MRCH.R3.ZS,Bangladesh
YR2000,0.739162139139737,Merchandise imports from developing economies in Middle East & North Africa (% of total),TM.VAL.MRCH.R4.ZS,Bangladesh
YR2000,14.1660055239442,Merchandise imports from developing economies in South Asia (% of total),TM.VAL.MRCH.R5.ZS,Bangladesh
YR2000,0.929479533962698,Merchandise imports from developing economies in Sub-Saharan Africa (% of total),TM.VAL.MRCH.R6.ZS,Bangladesh
YR2000,6.1199884679938,Merchandise imports from economies in the Arab World (% of total),TM.VAL.MRCH.AL.ZS,Bangladesh
YR2000,64.7267308900026,Merchandise imports from high income economies (% of total),TM.VAL.MRCH.HI.ZS,Bangladesh
YR2000,8883000000.0,Total Merchandise Imports (current US$),TM.VAL.MRCH.CD.WT,Bangladesh
YR2000,7474709820.0,Total Merchandise Imports (current US$) - Alternative,TM.VAL.MRCH.WL.CD,Bangladesh
YR2000,-2458878888.10142,Trade in goods and services (current US$),BN.GSR.GNFS.CD,Bangladesh
YR2001,6.44575506994615,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Bangladesh
YR2001,-2874981467.75389,External balance on goods and services (current US$),NE.RSB.GNFS.CD,Bangladesh
YR2001,17.3900891315011,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,Bangladesh
YR2001,4.83111832766778,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,Bangladesh
YR2001,9215079005.25739,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,Bangladesh
