country_code,country_name,year,indicator_code,indicator_name,value
BGD,Bangladesh,2020,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),111.84
BGD,Bangladesh,2020,AG.YLD.CREL.KG,Cereal yield (kg per hectare),4885.9
BGD,Bangladesh,2020,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),18.8853836099419
BGD,Bangladesh,2020,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",44876362005.1668
BGD,Bangladesh,2020,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.9996868602485
BGD,Bangladesh,2020,NY.GDP.MKTP.CD,GDP (current US$),373979442362.193
BGD,Bangladesh,2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.44801755122445
BGD,Bangladesh,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),2248.85078828233
BGD,Bangladesh,2020,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),42.5476764075219
BGD,Bangladesh,2020,SL.TLF.TOTL.IN,"Labor force, total",70314500.0
BGD,Bangladesh,2021,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),116.46
BGD,Bangladesh,2021,AG.YLD.CREL.KG,Cereal yield (kg per hectare),4964.4
BGD,Bangladesh,2021,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),20.8766117836117
BGD,Bangladesh,2021,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",48424291473.762
BGD,Bangladesh,2021,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.6328584271282
BGD,Bangladesh,2021,NY.GDP.MKTP.CD,GDP (current US$),416271647911.014
BGD,Bangladesh,2021,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),6.93867912442445
BGD,Bangladesh,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),2482.84917843357
BGD,Bangladesh,2021,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),43.4657157854774
BGD,Bangladesh,2021,SL.TLF.TOTL.IN,"Labor force, total",72637932.0
BGD,Bangladesh,2022,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),119.1
BGD,Bangladesh,2022,AG.YLD.CREL.KG,Cereal yield (kg per hectare),5089.7
BGD,Bangladesh,2022,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),20.2659753173734
BGD,Bangladesh,2022,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",51615737117.6808
BGD,Bangladesh,2022,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.2176010351595
BGD,Bangladesh,2022,NY.GDP.MKTP.CD,GDP (current US$),460131689083.083
BGD,Bangladesh,2022,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),7.09982877575158
BGD,Bangladesh,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),2716.48592780431
BGD,Bangladesh,2022,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),43.6687012820915
BGD,Bangladesh,2022,SL.TLF.TOTL.IN,"Labor force, total",74651451.0
BGD,Bangladesh,2023,AG.YLD.CREL.KG,Cereal yield (kg per hectare),5320.9
BGD,Bangladesh,2023,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),22.285488486933
BGD,Bangladesh,2023,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",48131827349.4816
BGD,Bangladesh,2023,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.0036900209598
BGD,Bangladesh,2023,NY.GDP.MKTP.CD,GDP (current US$),437415333018.291
BGD,Bangladesh,2023,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),5.77511237007889
BGD,Bangladesh,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),2551.01773827307
BGD,Bangladesh,2023,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),45.3663393707013
BGD,Bangladesh,2023,SL.TLF.TOTL.IN,"Labor force, total",74789575.0
BGD,Bangladesh,2024,AG.YLD.CREL.KG,Cereal yield (kg per hectare),5408.0
BGD,Bangladesh,2024,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),22.2547977203389
BGD,Bangladesh,2024,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",50254940777.9345
BGD,Bangladesh,2024,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",11.1648014276903
BGD,Bangladesh,2024,NY.GDP.MKTP.CD,GDP (current US$),450119432068.852
BGD,Bangladesh,2024,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.22325911250161
BGD,Bangladesh,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),2593.41611680774
BGD,Bangladesh,2024,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),44.7360340472385
BGD,Bangladesh,2024,SL.TLF.TOTL.IN,"Labor force, total",73619393.0
ETH,Ethiopia,2020,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),116.89
ETH,Ethiopia,2020,AG.YLD.CREL.KG,Cereal yield (kg per hectare),2712.8
ETH,Ethiopia,2020,DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),30.2340278652052
ETH,Ethiopia,2020,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",35087766941.5205
ETH,Ethiopia,2020,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",35.5582700374118
