country_code,country_name,year,indicator_code,indicator_name,value
AUS,Australia,2020,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),102.938193447331
AUS,Australia,2020,AG.LND.AGRI.K2,Agricultural land (sq. km),3557750.0
AUS,Australia,2020,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),76.66
AUS,Australia,2020,AG.YLD.CREL.KG,Cereal yield (kg per hectare),2515.9
AUS,Australia,2020,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",69.0656538994855
AUS,Australia,2020,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",26868425092.3914
AUS,Australia,2020,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2.01512715396535
AUS,Australia,2020,NY.GDP.MKTP.CD,GDP (current US$),1333336461648.09
AUS,Australia,2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-0.133531904304775
AUS,Australia,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),51983.4523666382
AUS,Australia,2020,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),2.7659977760499
AUS,Australia,2020,SL.TLF.TOTL.IN,"Labor force, total",13583584.0
AUS,Australia,2021,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),120.125219894451
AUS,Australia,2021,AG.LND.AGRI.K2,Agricultural land (sq. km),3635190.0
AUS,Australia,2021,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),129.02
AUS,Australia,2021,AG.YLD.CREL.KG,Cereal yield (kg per hectare),2817.0
AUS,Australia,2021,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",69.836773674895
AUS,Australia,2021,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",35978144132.001
AUS,Australia,2021,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2.30537875480088
AUS,Australia,2021,NY.GDP.MKTP.CD,GDP (current US$),1560617493202.69
AUS,Australia,2021,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),2.00694844335034
AUS,Australia,2021,NY.GDP.PCAP.CD,GDP per capita (current US$),60758.9044397144
AUS,Australia,2021,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),2.4984121870069
AUS,Australia,2021,SL.TLF.TOTL.IN,"Labor force, total",13859964.0
AUS,Australia,2022,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),106.569550615704
AUS,Australia,2022,AG.LND.AGRI.K2,Agricultural land (sq. km),3635190.0
AUS,Australia,2022,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),146.08
AUS,Australia,2022,AG.YLD.CREL.KG,Cereal yield (kg per hectare),3277.8
AUS,Australia,2022,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)",57.8834285733848
AUS,Australia,2022,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",45314408069.1166
AUS,Australia,2022,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2.67242699950618
AUS,Australia,2022,NY.GDP.MKTP.CD,GDP (current US$),1695627535475.8
AUS,Australia,2022,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),4.25304559238732
AUS,Australia,2022,NY.GDP.PCAP.CD,GDP per capita (current US$),65169.5191118657
AUS,Australia,2022,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),2.1974275768901
AUS,Australia,2022,SL.TLF.TOTL.IN,"Labor force, total",14230223.0
AUS,Australia,2023,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),102.688610687155
AUS,Australia,2023,AG.LND.AGRI.K2,Agricultural land (sq. km),3632436.782
AUS,Australia,2023,AG.YLD.CREL.KG,Cereal yield (kg per hectare),2690.9
AUS,Australia,2023,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",44604854016.0724
AUS,Australia,2023,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2.57169831894523
AUS,Australia,2023,NY.GDP.MKTP.CD,GDP (current US$),1734451264655.6
AUS,Australia,2023,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),3.58382100798981
AUS,Australia,2023,NY.GDP.PCAP.CD,GDP per capita (current US$),65058.3773146674
AUS,Australia,2023,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),2.14974802026124
AUS,Australia,2023,SL.TLF.TOTL.IN,"Labor force, total",14646578.0
AUS,Australia,2024,AG.YLD.CREL.KG,Cereal yield (kg per hectare),2689.7
AUS,Australia,2024,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",35766874141.9844
AUS,Australia,2024,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2.03565265249391
AUS,Australia,2024,NY.GDP.MKTP.CD,GDP (current US$),1757022451652.83
AUS,Australia,2024,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),1.37340773365975
AUS,Australia,2024,NY.GDP.PCAP.CD,GDP per capita (current US$),64603.9856308464
AUS,Australia,2024,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),2.2305246861444
AUS,Australia,2024,SL.TLF.TOTL.IN,"Labor force, total",14907959.0
AUT,Austria,2020,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),137.971279983855
AUT,Austria,2020,AG.LND.AGRI.K2,Agricultural land (sq. km),26026.653
AUT,Austria,2020,AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),103.38
AUT,Austria,2020,AG.YLD.CREL.KG,Cereal yield (kg per hectare),7386.4
AUT,Austria,2020,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",4654053944.11519
AUT,Austria,2020,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1.07138113272871
AUT,Austria,2020,NY.GDP.MKTP.CD,GDP (current US$),434397601557.696
AUT,Austria,2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),-6.31825509209936
AUT,Austria,2020,NY.GDP.PCAP.CD,GDP per capita (current US$),48716.4098900349
AUT,Austria,2020,SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment),3.86383142689978
AUT,Austria,2020,SL.TLF.TOTL.IN,"Labor force, total",4607777.0
AUT,Austria,2021,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),128.259330316928
