year,indicator_code,indicator_name,value
2000,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),377.271681929373
2000,NY.GDP.PCAP.CD,GDP per Capita (current US$),396.670730249751
2000,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),3.38671358983686
2000,SI.POV.GINI,GINI Index (World Bank estimate),33.4
2000,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),67.5956893034896
2000,SL.EMP.SELF.ZS,Self-employed (% of total employment),66.4240874789155
2000,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),56.261
2000,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),66.2249634576764
2000,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),33.5759125210845
2000,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),13.0892190327164
2000,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),19.3150811251213
2000,SL.TLF.TOTL.IN,"Labor Force, Total",49048139.0
2000,SL.UEM.TOTL.ZS,Unemployment Rate (%),3.27
2000,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),37.3226802030851
2000,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),59.2159179803854
2000,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.46140181652951
2000,SP.POP.GROW,Population Growth (annual %),1.82732806740512
2000,SP.POP.TOTL,Total Population,134544304.0
2000,SP.RUR.TOTL,Rural Population,103175957.0
2000,SP.URB.TOTL,Urban Population,31368347.0
2001,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),373.945462492766
2001,NY.GDP.PCAP.CD,GDP per Capita (current US$),394.65641001891
2001,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),3.34027882244948
2001,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),63.6637662866904
2001,SL.EMP.SELF.ZS,Self-employed (% of total employment),66.1141074913131
2001,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),56.105
2001,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),65.9019556492587
2001,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),33.8858863126032
2001,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),14.4051473429778
2001,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),21.9310884356931
2001,SL.TLF.TOTL.IN,"Labor Force, Total",50230500.0
2001,SL.UEM.TOTL.ZS,Unemployment Rate (%),3.609
2001,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),36.9194877873992
2001,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),59.5841764337926
2001,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),3.49633577880817
2001,SP.POP.GROW,Population Growth (annual %),1.66689324749509
2001,SP.POP.TOTL,Total Population,136805810.0
2001,SP.RUR.TOTL,Rural Population,104382940.0
2001,SP.URB.TOTL,Urban Population,32422870.0
2002,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),376.716240175324
2002,NY.GDP.PCAP.CD,GDP per Capita (current US$),393.886422327628
2002,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),2.24286058481829
2002,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),59.4219802137688
2002,SL.EMP.SELF.ZS,Self-employed (% of total employment),65.7921785968562
2002,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),55.899
2002,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),65.5713327248984
2002,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),34.2078254671436
2002,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),15.7360006499148
2002,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),24.8420110083177
