year,indicator_code,indicator_name,value
2000,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",15600564697.1
2000,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,14989457889.5
2000,DT.TDS.DECT.CD,Total debt service on external debt,773322606.1
2001,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",14978802400.8
2001,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,14410233960.6
2001,DT.TDS.DECT.CD,Total debt service on external debt,666594362.0
2002,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",16687587182.1
2002,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,15980821849.9
2002,DT.TDS.DECT.CD,Total debt service on external debt,706732882.9
2003,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",18440377575.4
2003,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,17679803154.0
2003,DT.TDS.DECT.CD,Total debt service on external debt,659152139.2
2004,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",19714073691.8
2004,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,18698272322.6
2004,DT.TDS.DECT.CD,Total debt service on external debt,653283766.1
2005,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",18503086016.3
2005,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,17438901410.0
2005,DT.TDS.DECT.CD,Total debt service on external debt,812105988.3
2006,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",20160932717.1
2006,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,18435555272.7
2006,DT.TDS.DECT.CD,Total debt service on external debt,712935810.5
2007,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",21523544177.4
2007,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,19433498590.1
2007,DT.TDS.DECT.CD,Total debt service on external debt,1008245604.3
2008,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",23346917708.3
2008,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,20273562501.9
2008,DT.TDS.DECT.CD,Total debt service on external debt,940729371.1
2009,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",25377795050.4
2009,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,21184650224.6
2009,DT.TDS.DECT.CD,Total debt service on external debt,1032147833.3
2010,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",26571755072.0
2010,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,21145542685.2
2010,DT.TDS.DECT.CD,Total debt service on external debt,1106277181.1
2011,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",27046084648.2
2011,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,22217936348.9
2011,DT.TDS.DECT.CD,Total debt service on external debt,1528366924.7
2012,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",29155976742.1
2012,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,24196786408.2
2012,DT.TDS.DECT.CD,Total debt service on external debt,1675995387.4
2013,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",32454687016.8
2013,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,25034676366.2
2013,DT.TDS.DECT.CD,Total debt service on external debt,1941041755.6
2014,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",35270692354.7
2014,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,26541000314.4
2014,DT.TDS.DECT.CD,Total debt service on external debt,2032918904.5
2015,DT.DOD.DECT.CD,"External debt stocks, total (current US$)",38770937144.2
2015,DT.DOD.DPPG.CD,Public and publicly guaranteed debt,27169735482.9
2015,DT.TDS.DECT.CD,Total debt service on external debt,1755769691.8
